"X","date","sal","do","ph","depth","w.temp","a.temp"
137,"1/9/1992",2.2,11.3,7.5,0.99,7.5,9.5
138,"1/20/1992",1.4,12.6,7,0.58,2,0.5
139,"1/30/1992",1.6,11.6,7,0.48,6,6.5
140,"2/10/1992",2.4,14.2,7,0.3,3,4
141,"2/17/1992",2,11.1,7,0.68,10,7
142,"2/23/1992",2.4,10,7.5,0.68,12.5,12.5
143,"3/2/1992",2.9,11.3,8,0.8,13,15.5
144,"3/9/1992",3.5,10,7.5,0.75,16,18
146,"3/23/1992",2.9,11.6,7.5,0.35,3,7
147,"4/6/1992",3,11,7.5,0.42,9,10
148,"4/13/1992",3.8,10.6,7.5,0.5,13,7.5
149,"4/20/1992",4.7,9.4,7,0.78,17,13
150,"4/27/1992",3.7,9.6,7,0.65,14,13.05
151,"5/5/1992",3.8,8.9,7.5,0.6,15.5,10
152,"5/11/1992",4.2,9.2,7.5,0.7,17.5,17
154,"6/1/1992",5,9.4,7,0.9,20,20.5
155,"6/8/1992",4.3,7.9,7,1.05,27.5,29
156,"6/15/1992",5.1,7.8,8,0.8,25,29
157,"6/22/1992",4.7,9,7.5,0.68,19,18
158,"6/29/1992",4.5,0.8,7.5,0.8,26,26
159,"7/6/1992",4.3,7.5,7.5,1,25,24
160,"7/13/1992",5.1,7.3,7.5,0.95,28.5,31
161,"7/27/1992",5.1,7.6,8,0.95,28,30.5
162,"8/3/1992",4.5,8,8,0.85,26,26
163,"8/7/1992",4.7,8,8,0.6,23,25
164,"8/14/1992",4.7,7.1,7.5,0.95,24.5,22
165,"8/23/1992",3.9,8.5,8,0.8,24.5,26
166,"8/31/1992",4.3,7.7,7.5,1,23,25
167,"9/14/1992",4.8,9.2,8,0.38,19.5,22
168,"9/20/1992",4.3,7.6,7.5,0.8,23.5,24
169,"9/27/1992",5.4,9.8,8,0.45,24,26.5
170,"10/5/1992",3.9,9.2,7.5,0.15,16,17
171,"10/19/1992",4.1,9.8,7.5,1,12,10
172,"10/26/1992",4.2,10.6,7,0.63,12.5,13
173,"11/2/1992",3.4,10.6,7.5,0.65,16.5,17.5
174,"11/9/1992",1.7,11.3,7.5,0.4,9,10
175,"11/16/1992",3.9,11,7.5,0.55,7.5,5.5
